neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Lopez/Kagel Canyons,2016,1655,31%,512,52%,48%,83,75%,21%,1655,1%,5%,10%,58%,0%,0%,2%,24%
Citrus,2016,13451,34%,4531,57%,43%,1384,54%,33%,13451,0%,8%,2%,73%,0%,0%,1%,14%
Lake Balboa,2016,27271,35%,9509,44%,56%,3380,59%,34%,27271,0%,10%,4%,46%,0%,1%,2%,36%
Granada Hills,2016,52982,34%,18074,29%,71%,4995,56%,30%,52982,0%,16%,5%,32%,0%,0%,4%,43%
Palms,2016,42538,35%,14808,54%,46%,17852,48%,23%,42538,0%,23%,8%,23%,0%,0%,4%,40%
Santa Monica,2016,90537,23%,21047,40%,60%,32808,47%,24%,90537,0%,10%,4%,16%,0%,0%,4%,65%
Pacoima,2016,76765,45%,34188,62%,38%,7818,62%,36%,76765,0%,3%,4%,89%,0%,0%,0%,3%
Toluca Lake,2016,9046,17%,1547,36%,64%,2818,53%,29%,9046,0%,8%,5%,15%,1%,0%,3%,68%
Veterans Administration,2016,1153,17%,193,53%,47%,129,56%,40%,1153,0%,10%,29%,17%,0%,1%,2%,40%
Valley Village,2016,25846,26%,6604,40%,60%,7864,59%,33%,25846,0%,5%,6%,25%,0%,0%,4%,59%
Brentwood,2016,32778,22%,7237,32%,68%,7458,47%,25%,32778,0%,9%,1%,6%,0%,0%,3%,81%
Pomona,2016,153521,33%,51329,60%,40%,18385,60%,34%,153521,0%,9%,6%,70%,0%,0%,2%,12%
South Whittier,2016,54921,25%,13979,52%,48%,4981,58%,32%,54921,0%,4%,1%,76%,0%,1%,2%,16%
Pasadena,2016,142983,30%,42454,50%,50%,31638,51%,26%,142983,0%,16%,10%,33%,0%,0%,3%,38%
Winnetka,2016,54092,44%,23975,52%,48%,7630,56%,32%,54092,0%,16%,3%,54%,0%,0%,2%,24%
Palmdale,2016,158584,26%,41388,50%,50%,16247,64%,38%,158584,0%,4%,12%,60%,0%,0%,2%,21%
Porter Ranch,2016,26133,37%,9576,19%,81%,1371,50%,21%,26133,0%,29%,3%,10%,1%,0%,3%,54%
South El Monte,2016,20031,46%,9154,63%,37%,2996,63%,29%,20031,0%,14%,0%,83%,0%,0%,0%,2%
Tujunga Canyons,2016,8209,19%,1592,37%,63%,364,54%,28%,8209,0%,9%,4%,28%,0%,1%,4%,54%
Commerce,2016,13743,33%,4528,53%,47%,2119,52%,25%,13743,1%,1%,2%,94%,0%,0%,0%,2%
San Fernando,2016,24387,35%,8614,58%,42%,2711,57%,29%,24387,1%,1%,1%,92%,1%,0%,0%,5%
Sherman Oaks,2016,72007,26%,18387,32%,68%,19362,49%,26%,72007,0%,8%,5%,13%,0%,0%,4%,69%
Bradbury,2016,1281,32%,415,31%,69%,176,52%,36%,1281,0%,28%,3%,16%,0%,0%,2%,52%
Panorama City,2016,70683,53%,37771,61%,39%,12357,67%,38%,70683,0%,15%,2%,74%,0%,0%,1%,7%
Northridge,2016,67513,33%,21962,44%,56%,11153,61%,35%,67513,0%,16%,8%,33%,0%,0%,3%,39%
Culver City,2016,36314,25%,8933,37%,63%,6906,44%,24%,36314,0%,15%,7%,24%,0%,1%,4%,48%
Lakewood,2016,80984,22%,17423,34%,66%,7698,52%,24%,80984,0%,17%,7%,34%,2%,0%,3%,37%
Compton,2016,100994,31%,30971,67%,33%,11189,62%,37%,100994,0%,1%,30%,67%,0%,0%,1%,1%
Vernon,2016,396,31%,123,48%,52%,63,36%,14%,396,2%,4%,9%,77%,0%,0%,4%,4%
San Dimas,2016,36175,20%,7175,30%,70%,3478,50%,25%,36175,0%,13%,3%,34%,0%,0%,3%,46%
Inglewood,2016,112096,29%,32178,58%,42%,24258,61%,32%,112096,0%,1%,41%,51%,0%,0%,2%,4%
Charter Oak,2016,8922,22%,1952,45%,55%,1058,46%,24%,8922,0%,12%,4%,55%,0%,0%,3%,26%
Paramount,2016,55668,38%,21190,62%,38%,8649,58%,31%,55668,0%,3%,9%,82%,1%,0%,1%,5%
San Pedro,2016,80064,23%,18658,51%,49%,17978,55%,28%,80064,0%,6%,6%,48%,0%,0%,4%,35%
Lincoln Heights,2016,29200,49%,14432,57%,43%,6296,64%,35%,29200,0%,23%,1%,70%,0%,0%,1%,5%
Boyle Heights,2016,91799,45%,41269,69%,31%,17854,63%,34%,91799,0%,3%,1%,93%,0%,0%,0%,2%
Historic South-Central,2016,48435,49%,23556,81%,19%,9079,68%,36%,48435,0%,1%,7%,91%,0%,0%,0%,1%
Avalon,2016,3541,23%,822,59%,41%,995,52%,24%,3541,0%,0%,0%,71%,0%,0%,1%,27%
Westlake,2016,107703,59%,63112,73%,27%,35697,60%,31%,107703,0%,19%,4%,69%,0%,0%,1%,6%
Mission Hills,2016,18834,39%,7388,43%,57%,1463,57%,27%,18834,0%,9%,2%,70%,0%,0%,1%,17%
Quartz Hill,2016,10002,9%,867,37%,63%,869,39%,19%,10002,0%,4%,8%,31%,0%,0%,2%,55%
Marina del Rey,2016,9524,25%,2390,59%,41%,5009,51%,22%,9524,0%,8%,6%,9%,0%,2%,3%,72%
Bell,2016,35952,42%,15179,62%,38%,6488,62%,31%,35952,0%,1%,1%,93%,0%,0%,0%,4%
Long Beach,2016,467881,26%,122413,52%,48%,97139,54%,29%,467881,0%,13%,12%,43%,1%,0%,3%,27%
San Gabriel,2016,41047,55%,22648,41%,59%,6643,56%,30%,41047,0%,61%,1%,25%,0%,0%,1%,12%
Downey,2016,113741,34%,38650,45%,55%,16683,53%,23%,113741,0%,7%,4%,74%,0%,0%,1%,15%
Diamond Bar,2016,46084,44%,20179,29%,71%,3643,53%,29%,46084,0%,54%,4%,19%,1%,0%,2%,19%
La Canada Flintridge,2016,21677,26%,5549,27%,73%,1098,44%,21%,21677,0%,28%,0%,10%,0%,0%,3%,58%
West Covina,2016,110356,35%,39118,35%,65%,10478,55%,28%,110356,0%,27%,3%,55%,0%,0%,2%,13%
Redondo Beach,2016,67439,19%,13026,38%,62%,13993,41%,19%,67439,0%,12%,3%,17%,0%,1%,5%,62%
Vermont Square,2016,49056,40%,19737,70%,30%,9158,68%,43%,49056,0%,1%,28%,68%,0%,1%,1%,1%
Santa Fe Springs,2016,22428,28%,6259,42%,58%,2356,56%,33%,22428,0%,5%,3%,82%,0%,1%,1%,8%
Calabasas,2016,19371,25%,4830,32%,68%,1716,60%,32%,19371,0%,10%,2%,7%,0%,0%,5%,77%
Altadena,2016,43107,20%,8762,42%,58%,4226,58%,37%,43107,0%,8%,22%,27%,0%,1%,5%,39%
Bell Gardens,2016,42853,43%,18456,72%,28%,7582,67%,34%,42853,0%,1%,1%,95%,0%,0%,0%,3%
Sun Valley,2016,71304,47%,33631,50%,50%,9545,65%,42%,71304,0%,7%,2%,71%,0%,0%,1%,18%
Playa Vista,2016,11104,22%,2432,53%,47%,2782,52%,32%,11104,0%,27%,10%,16%,0%,0%,3%,44%
Carson,2016,92088,34%,31759,35%,65%,6392,52%,26%,92088,0%,25%,22%,40%,2%,0%,4%,7%
Hollywood Hills,2016,20876,22%,4493,44%,56%,6113,54%,33%,20876,0%,7%,3%,10%,0%,0%,5%,75%
Lancaster,2016,158155,13%,19990,47%,53%,22201,51%,26%,158155,0%,4%,20%,38%,0%,0%,3%,34%
Leona Valley,2016,2364,9%,206,36%,64%,86,28%,12%,2364,1%,3%,6%,15%,0%,0%,2%,72%
Whittier,2016,83703,19%,15565,41%,59%,11516,53%,24%,83703,0%,5%,1%,70%,0%,0%,1%,23%
Walnut,2016,29925,50%,14924,26%,74%,1442,50%,20%,29925,0%,63%,3%,21%,0%,0%,2%,11%
Castaic Canyons,2016,47511,18%,8431,37%,63%,1930,49%,24%,47511,0%,10%,5%,29%,0%,0%,5%,50%
Silver Lake,2016,30726,28%,8675,45%,55%,9124,47%,24%,30726,0%,15%,3%,32%,0%,0%,3%,47%
Whittier Narrows,2016,7297,42%,3044,41%,59%,722,55%,34%,7297,0%,30%,0%,63%,0%,0%,1%,6%
Glendale,2016,197689,54%,107486,35%,65%,47220,58%,36%,197689,0%,16%,1%,18%,0%,0%,3%,61%
West Whittier-Los Nietos,2016,23923,27%,6372,47%,53%,2146,48%,24%,23923,1%,2%,1%,88%,0%,0%,0%,8%
Atwater Village,2016,11339,43%,4928,31%,69%,2652,55%,26%,11339,0%,23%,1%,42%,0%,0%,2%,31%
East Whittier,2016,10274,17%,1768,44%,56%,1147,46%,22%,10274,0%,5%,0%,57%,0%,0%,2%,36%
El Sereno,2016,41723,36%,14920,50%,50%,6153,61%,33%,41723,0%,10%,1%,80%,0%,0%,1%,7%
Montecito Heights,2016,17627,38%,6622,45%,55%,2957,52%,33%,17627,0%,19%,4%,60%,0%,0%,2%,14%
Florence,2016,52481,40%,21008,75%,25%,8513,72%,48%,52481,0%,0%,19%,80%,0%,0%,0%,1%
Huntington Park,2016,60700,48%,29281,69%,31%,11223,66%,34%,60700,0%,1%,0%,97%,0%,0%,0%,2%
Cheviot Hills,2016,8768,22%,1900,36%,64%,1259,46%,28%,8768,0%,9%,3%,8%,0%,0%,2%,78%
Cypress Park,2016,9509,44%,4177,55%,45%,1705,61%,34%,9509,0%,9%,1%,83%,0%,0%,1%,6%
Desert View Highlands,2016,1935,24%,474,32%,68%,173,63%,32%,1935,0%,5%,10%,52%,0%,2%,4%,27%
Baldwin Park,2016,76350,44%,33808,47%,53%,7351,62%,30%,76350,1%,18%,2%,76%,0%,0%,0%,4%
Montebello,2016,63581,37%,23255,47%,53%,10821,59%,31%,63581,0%,13%,1%,76%,0%,0%,1%,8%
Leimert Park,2016,12243,15%,1813,47%,53%,3123,57%,41%,12243,0%,3%,67%,22%,0%,0%,4%,4%
Santa Clarita,2016,183238,22%,39905,43%,57%,21259,54%,25%,183238,0%,11%,4%,34%,0%,0%,4%,47%
Elysian Park,2016,2317,50%,1155,53%,47%,675,59%,29%,2317,0%,39%,4%,44%,0%,0%,1%,12%
Wilmington,2016,58112,37%,21533,67%,33%,8500,60%,31%,58112,0%,2%,1%,89%,0%,0%,1%,6%
Jefferson Park,2016,25437,34%,8760,64%,36%,5911,65%,39%,25437,0%,3%,36%,53%,0%,1%,2%,6%
Downtown,2016,49699,32%,16143,53%,47%,23282,53%,24%,49699,0%,24%,17%,26%,0%,0%,4%,27%
Encino,2016,46316,35%,16059,24%,76%,7815,55%,33%,46316,0%,8%,3%,12%,0%,0%,3%,74%
West Adams,2016,21275,39%,8271,59%,41%,4736,65%,41%,21275,0%,2%,27%,64%,0%,0%,1%,5%
Hawaiian Gardens,2016,14769,41%,6006,57%,43%,2197,59%,36%,14769,0%,15%,4%,71%,0%,0%,1%,9%
Agoura Hills,2016,17465,19%,3259,35%,65%,1567,58%,37%,17465,0%,7%,2%,14%,0%,0%,3%,74%
Baldwin Hills/Crenshaw,2016,29584,23%,6780,57%,43%,9826,68%,37%,29584,0%,5%,56%,30%,0%,1%,2%,5%
Lake View Terrace,2016,13555,37%,5068,46%,54%,1158,59%,24%,13555,0%,7%,9%,62%,0%,0%,1%,20%
Adams-Normandie,2016,17889,42%,7575,63%,37%,4295,62%,39%,17889,0%,9%,21%,62%,0%,1%,1%,7%
El Monte,2016,109183,49%,53617,52%,48%,17304,66%,37%,109183,0%,29%,0%,65%,0%,0%,0%,4%
Rancho Dominguez,2016,2793,24%,665,56%,44%,79,61%,53%,2793,0%,9%,26%,36%,0%,0%,1%,28%
Acton,2016,2882,11%,311,26%,74%,106,33%,20%,2882,0%,1%,2%,17%,0%,0%,2%,77%
Studio City,2016,39652,18%,7123,37%,63%,10817,48%,27%,39652,0%,7%,5%,12%,0%,0%,4%,71%
La Puente,2016,40443,40%,16297,53%,47%,3518,52%,26%,40443,0%,11%,1%,84%,0%,0%,1%,3%
North Hollywood,2016,81704,41%,33393,51%,49%,24311,60%,33%,81704,0%,7%,6%,53%,0%,0%,2%,31%
Rosemead,2016,52447,56%,29400,36%,64%,7442,63%,36%,52447,0%,60%,0%,34%,0%,0%,1%,4%
San Marino,2016,13313,40%,5336,21%,79%,616,41%,29%,13313,0%,55%,1%,9%,0%,0%,2%,33%
East San Gabriel,2016,20764,50%,10463,32%,68%,2748,50%,27%,20764,0%,55%,1%,25%,0%,0%,2%,17%
South Park,2016,33266,44%,14583,84%,16%,5853,74%,47%,33266,0%,0%,12%,86%,0%,0%,0%,1%
Burbank,2016,104329,34%,35706,35%,65%,24385,53%,30%,104329,0%,11%,2%,25%,0%,1%,3%,57%
Woodland Hills,2016,67336,29%,19723,34%,66%,10876,52%,28%,67336,0%,11%,4%,13%,0%,0%,4%,67%
Angeles Crest,2016,4370,19%,811,35%,65%,254,43%,25%,4370,1%,6%,4%,30%,0%,0%,4%,55%
East Compton,2016,12153,35%,4238,71%,29%,1250,62%,33%,12153,0%,0%,15%,83%,0%,0%,1%,1%
Chatsworth,2016,49854,32%,16069,29%,71%,6154,57%,30%,49854,0%,21%,4%,23%,0%,1%,3%,48%
Mayflower Village,2016,9976,36%,3564,45%,55%,938,56%,25%,9976,0%,24%,5%,50%,1%,0%,1%,19%
Koreatown,2016,107744,61%,65462,67%,33%,40321,61%,32%,107744,0%,38%,5%,47%,0%,0%,2%,8%
South Gate,2016,95298,43%,41086,57%,43%,13004,63%,32%,95298,0%,0%,1%,95%,0%,0%,0%,3%
Elysian Valley,2016,7341,38%,2818,38%,62%,1272,51%,26%,7341,0%,19%,1%,65%,0%,0%,1%,13%
Claremont,2016,39242,19%,7409,32%,68%,4382,51%,26%,39242,0%,15%,4%,25%,0%,0%,3%,53%
Avocado Heights,2016,14302,35%,4985,45%,55%,904,60%,34%,14302,0%,11%,0%,82%,0%,0%,0%,6%
South San Gabriel,2016,8774,49%,4333,36%,64%,894,46%,32%,8774,0%,48%,1%,44%,0%,0%,1%,6%
Northwest Antelope Valley,2016,5463,7%,402,41%,59%,446,43%,17%,5463,1%,2%,7%,17%,0%,0%,1%,71%
Echo Park,2016,34884,36%,12670,56%,44%,10127,51%,28%,34884,0%,17%,3%,51%,0%,0%,2%,26%
Lynwood,2016,70243,39%,27600,66%,34%,8638,67%,34%,70243,0%,1%,9%,88%,0%,0%,0%,2%
Unincorporated Santa Susana Mountains,2016,24529,24%,5784,37%,63%,2809,49%,24%,24529,0%,18%,3%,23%,0%,0%,5%,51%
Shadow Hills,2016,13100,37%,4830,26%,74%,1071,62%,33%,13100,0%,9%,1%,20%,0%,0%,1%,68%
La Habra Heights,2016,8775,22%,1890,15%,85%,243,21%,12%,8775,0%,19%,0%,30%,0%,0%,2%,48%
Covina,2016,54382,23%,12712,40%,60%,7211,54%,26%,54382,0%,11%,3%,59%,0%,0%,2%,24%
Northwest Palmdale,2016,3848,17%,673,31%,68%,181,54%,23%,3848,1%,9%,7%,26%,0%,0%,2%,55%
Sawtelle,2016,42004,33%,13739,47%,53%,15012,49%,26%,42004,0%,21%,3%,22%,0%,0%,5%,49%
Rancho Park,2016,5660,32%,1784,47%,53%,1205,50%,26%,5660,0%,26%,3%,16%,1%,0%,4%,50%
East Los Angeles,2016,122770,42%,50958,66%,34%,20797,56%,28%,122770,0%,1%,0%,96%,0%,0%,0%,2%
Beverlywood,2016,7226,23%,1666,28%,72%,980,51%,29%,7226,0%,9%,3%,7%,0%,1%,2%,79%
Bellflower,2016,77613,31%,23943,50%,50%,14193,59%,32%,77613,0%,13%,13%,55%,0%,0%,2%,17%
Azusa,2016,45782,31%,14124,52%,48%,5172,57%,31%,45782,0%,9%,2%,68%,0%,0%,2%,18%
Del Rey,2016,29926,34%,10316,52%,48%,7499,47%,22%,29926,0%,15%,4%,39%,0%,0%,4%,37%
Mid-Wilshire,2016,42705,34%,14436,52%,48%,15730,53%,29%,42705,0%,23%,13%,20%,0%,1%,4%,39%
North Whittier,2016,7333,19%,1419,23%,77%,415,49%,18%,7333,0%,13%,1%,59%,0%,1%,1%,24%
Beverly Crest,2016,11290,26%,2895,25%,75%,649,35%,17%,11290,0%,8%,1%,6%,0%,0%,2%,82%
Cerritos,2016,49845,45%,22527,24%,76%,3273,51%,26%,49845,0%,60%,8%,13%,0%,0%,3%,15%
West Hills,2016,38989,25%,9885,22%,78%,1954,53%,26%,38989,1%,14%,3%,16%,0%,0%,4%,61%
Vincent,2016,13627,31%,4195,42%,58%,975,50%,16%,13627,0%,8%,1%,74%,0%,0%,2%,15%
Sun Village,2016,1780,21%,372,51%,49%,180,64%,44%,1780,0%,2%,8%,60%,0%,0%,3%,27%
Playa del Rey,2016,11359,19%,2190,33%,67%,3039,46%,22%,11359,0%,12%,5%,14%,0%,1%,5%,63%
Valinda,2016,19662,39%,7673,46%,54%,953,52%,30%,19662,0%,18%,2%,73%,0%,0%,0%,6%
Tujunga,2016,27253,37%,10110,32%,68%,4805,62%,36%,27253,0%,7%,2%,28%,0%,0%,3%,59%
Exposition Park,2016,34891,43%,15125,65%,35%,7353,65%,43%,34891,0%,4%,23%,67%,0%,1%,1%,3%
Eagle Rock,2016,34290,34%,11515,32%,68%,4971,48%,23%,34290,0%,25%,1%,41%,0%,0%,2%,31%
Harbor City,2016,25962,35%,9033,53%,47%,4382,52%,27%,25962,0%,18%,10%,48%,2%,0%,4%,18%
Southeast Antelope Valley,2016,8349,19%,1598,41%,59%,733,47%,28%,8349,0%,4%,5%,39%,0%,1%,2%,48%
Reseda,2016,71765,45%,32233,47%,53%,10760,60%,37%,71765,0%,12%,4%,53%,0%,0%,2%,28%
Willowbrook,2016,37432,28%,10549,68%,32%,4531,61%,40%,37432,0%,1%,32%,65%,0%,1%,0%,1%
Highland Park,2016,52720,39%,20318,50%,50%,9790,57%,31%,52720,0%,11%,2%,72%,0%,0%,1%,14%
Temple City,2016,37830,49%,18385,30%,70%,4498,57%,33%,37830,0%,58%,1%,22%,0%,0%,2%,17%
Westlake Village,2016,7830,14%,1075,15%,85%,480,44%,18%,7830,0%,7%,1%,7%,0%,0%,2%,83%
Pico-Robertson,2016,18198,30%,5521,30%,70%,6148,53%,34%,18198,0%,8%,4%,9%,0%,0%,4%,74%
Monrovia,2016,39162,25%,9725,48%,52%,7150,49%,23%,39162,0%,14%,7%,38%,0%,0%,4%,37%
Broadway-Manchester,2016,28131,34%,9668,73%,27%,4896,73%,49%,28131,0%,0%,29%,69%,0%,0%,0%,1%
Sunland,2016,14549,33%,4748,28%,72%,1738,60%,29%,14549,0%,8%,3%,27%,2%,0%,3%,58%
Agua Dulce,2016,4330,9%,396,32%,68%,108,42%,19%,4330,0%,3%,1%,19%,0%,0%,6%,71%
Malibu,2016,9670,17%,1601,41%,59%,978,48%,26%,9670,0%,5%,2%,9%,0%,0%,4%,81%
Topanga,2016,6871,18%,1265,39%,61%,512,47%,18%,6871,0%,5%,1%,6%,0%,0%,3%,85%
Northeast Antelope Valley,2016,22192,17%,3819,51%,49%,2153,52%,35%,22192,0%,2%,9%,51%,0%,0%,3%,34%
Arleta,2016,34163,47%,15969,47%,53%,1989,60%,36%,34163,0%,11%,1%,79%,0%,0%,1%,8%
Van Nuys,2016,112068,47%,52430,62%,38%,27723,67%,38%,112068,0%,7%,4%,64%,0%,0%,1%,22%
Mar Vista,2016,37911,28%,10684,57%,43%,9782,49%,22%,37911,0%,13%,4%,28%,0%,0%,4%,51%
Valley Glen,2016,58004,44%,25644,44%,56%,13571,62%,34%,58004,0%,6%,4%,39%,0%,0%,2%,48%
Arcadia,2016,61206,47%,28825,34%,66%,8043,47%,26%,61206,0%,58%,2%,14%,0%,0%,3%,23%
Windsor Square,2016,6779,44%,3016,42%,58%,1666,64%,26%,6779,0%,48%,4%,12%,0%,0%,5%,32%
West Puente Valley,2016,20914,35%,7263,50%,50%,1255,47%,21%,20914,0%,8%,1%,83%,0%,0%,1%,5%
Central-Alameda,2016,43149,45%,19462,78%,22%,6764,67%,40%,43149,0%,0%,9%,89%,0%,0%,0%,0%
Arlington Heights,2016,23843,51%,12139,64%,36%,5835,61%,33%,23843,0%,19%,15%,59%,0%,1%,1%,5%
Harvard Heights,2016,19105,55%,10475,67%,33%,4969,65%,33%,19105,0%,21%,8%,65%,0%,0%,1%,5%
Harvard Park,2016,9486,35%,3288,62%,38%,1504,70%,49%,9486,0%,1%,36%,61%,0%,0%,1%,1%
East Hollywood,2016,68824,56%,38594,59%,41%,21816,60%,33%,68824,0%,18%,3%,57%,0%,0%,1%,21%
Lennox,2016,19348,45%,8651,67%,33%,3293,59%,32%,19348,0%,2%,3%,92%,0%,0%,0%,2%
Larchmont,2016,8785,44%,3829,43%,57%,2446,45%,28%,8785,0%,26%,4%,35%,0%,0%,3%,31%
Tarzana,2016,37567,38%,14418,29%,71%,6259,58%,31%,37567,0%,7%,4%,20%,0%,0%,3%,66%
Rolling Hills,2016,2944,19%,550,24%,76%,109,38%,16%,2944,0%,19%,1%,8%,0%,0%,4%,68%
Mid-City,2016,52076,34%,17803,56%,44%,12568,59%,33%,52076,0%,5%,26%,49%,0%,1%,2%,17%
Westchester,2016,41294,19%,7659,45%,55%,7604,50%,26%,41294,0%,13%,14%,17%,0%,0%,5%,50%
Manchester Square,2016,11503,14%,1618,58%,42%,1948,68%,41%,11503,0%,1%,72%,22%,0%,0%,3%,1%
Rowland Heights,2016,43385,55%,23704,37%,63%,4274,59%,28%,43385,0%,59%,1%,27%,0%,0%,2%,11%
Ridge Route,2016,7155,19%,1357,39%,61%,649,57%,24%,7155,0%,6%,3%,27%,0%,0%,4%,60%
South San Jose Hills,2016,19312,41%,8000,56%,44%,1348,60%,35%,19312,0%,8%,2%,85%,0%,0%,1%,4%
Vermont-Slauson,2016,26964,39%,10529,68%,32%,5075,72%,43%,26964,0%,1%,25%,73%,0%,0%,0%,1%
Athens,2016,8557,24%,2086,64%,36%,1386,67%,35%,8557,0%,2%,51%,43%,0%,0%,3%,1%
Mount Washington,2016,14287,33%,4647,45%,55%,2203,58%,34%,14287,0%,13%,3%,53%,0%,0%,1%,30%
West Compton,2016,6159,24%,1462,45%,55%,516,61%,33%,6159,0%,3%,49%,42%,0%,0%,1%,5%
Los Feliz,2016,33417,31%,10309,35%,65%,13096,48%,27%,33417,0%,12%,2%,15%,0%,0%,4%,66%
Chinatown,2016,13953,43%,6040,53%,47%,3402,60%,30%,13953,0%,40%,14%,31%,0%,0%,1%,12%
Century City,2016,6024,27%,1602,26%,74%,1134,51%,28%,6024,0%,16%,3%,6%,1%,0%,3%,71%
Florence-Firestone,2016,62185,43%,26561,72%,28%,9641,65%,40%,62185,0%,0%,8%,91%,0%,0%,0%,1%
University Park,2016,24138,37%,9015,79%,21%,4957,64%,42%,24138,0%,28%,6%,33%,0%,0%,3%,29%
Hollywood Hills West,2016,15805,24%,3726,40%,60%,2792,52%,26%,15805,0%,5%,3%,9%,0%,1%,3%,79%
Unincorporated Santa Monica Mountains,2016,23231,18%,4070,37%,63%,2122,50%,28%,23231,0%,8%,3%,9%,0%,0%,3%,76%
West Los Angeles,2016,12937,31%,4042,31%,69%,3090,47%,26%,12937,0%,18%,3%,9%,0%,0%,3%,67%
Hancock Park,2016,10776,24%,2546,32%,68%,2647,40%,24%,10776,0%,15%,2%,8%,0%,1%,3%,71%
Canoga Park,2016,59413,46%,27278,64%,36%,13364,61%,32%,59413,0%,14%,4%,57%,0%,0%,1%,23%
Chesterfield Square,2016,8314,32%,2659,64%,36%,1431,69%,51%,8314,0%,1%,43%,53%,0%,0%,0%,2%
Hidden Hills,2016,2406,20%,476,25%,75%,200,40%,20%,2406,0%,11%,0%,8%,0%,0%,3%,77%
Norwalk,2016,105570,35%,36534,45%,55%,10005,55%,30%,105570,0%,13%,4%,70%,0%,0%,1%,11%
North El Monte,2016,2460,35%,865,32%,68%,303,53%,29%,2460,1%,42%,1%,31%,0%,0%,2%,24%
Monterey Park,2016,61512,53%,32907,36%,64%,9577,57%,32%,61512,0%,64%,0%,30%,0%,0%,1%,4%
Hollywood,2016,74022,41%,30460,54%,46%,33973,57%,31%,74022,0%,7%,6%,38%,0%,1%,3%,45%
Fairfax,2016,13213,23%,3050,39%,61%,4757,48%,27%,13213,0%,7%,4%,9%,0%,1%,5%,74%
Glassell Park,2016,24279,43%,10365,51%,49%,4478,61%,31%,24279,0%,19%,1%,61%,0%,0%,2%,16%
Watts,2016,44154,33%,14540,73%,27%,6743,66%,40%,44154,1%,1%,23%,74%,0%,0%,0%,1%
La Verne,2016,31603,15%,4610,34%,66%,3018,53%,24%,31603,0%,7%,4%,35%,0%,0%,2%,50%
Rancho Palos Verdes,2016,41961,27%,11508,27%,73%,3291,52%,25%,41961,0%,28%,2%,11%,1%,0%,5%,53%
Green Meadows,2016,34935,31%,10961,71%,29%,4878,68%,40%,34935,0%,0%,29%,68%,0%,0%,1%,1%
Del Aire,2016,9658,30%,2855,42%,58%,1360,52%,25%,9658,0%,6%,9%,53%,2%,0%,4%,26%
Vermont Knolls,2016,21615,30%,6428,76%,24%,4753,71%,43%,21615,0%,1%,38%,58%,0%,0%,2%,1%
Castaic,2016,11196,16%,1770,15%,85%,340,48%,17%,11196,0%,11%,3%,26%,0%,0%,3%,56%
Westwood,2016,53097,29%,15383,51%,49%,12870,59%,43%,53097,0%,28%,2%,11%,0%,0%,4%,55%
Venice,2016,34364,20%,7022,47%,53%,11481,45%,23%,34364,0%,4%,5%,17%,0%,1%,3%,69%
South Diamond Bar,2016,4932,43%,2114,25%,75%,243,58%,30%,4932,0%,51%,3%,18%,1%,0%,2%,24%
Universal City,2016,143,23%,32,36%,64%,25,50%,29%,143,0%,8%,3%,6%,1%,1%,7%,74%
Pacific Palisades,2016,24339,15%,3579,31%,69%,2040,47%,25%,24339,0%,5%,1%,5%,0%,0%,5%,83%
Bel-Air,2016,7403,28%,2086,21%,79%,553,50%,32%,7403,0%,10%,3%,8%,0%,0%,5%,75%
East Pasadena,2016,5724,41%,2374,40%,60%,642,46%,27%,5724,0%,26%,1%,42%,0%,0%,3%,28%
Cudahy,2016,24404,45%,11042,74%,26%,4696,62%,30%,24404,0%,1%,0%,96%,0%,0%,0%,3%
Palos Verdes Estates,2016,13234,19%,2521,24%,76%,597,39%,28%,13234,0%,20%,1%,7%,0%,0%,5%,66%
Ladera Heights,2016,12632,15%,1889,24%,76%,1753,48%,31%,12632,0%,8%,56%,11%,0%,0%,4%,22%
Walnut Park,2016,15619,50%,7749,58%,42%,1707,56%,32%,15619,0%,1%,0%,96%,0%,0%,0%,1%
La Crescenta-Montrose,2016,18128,34%,6168,36%,64%,1903,49%,22%,18128,0%,28%,1%,13%,0%,0%,3%,56%
Gardena,2016,59554,33%,19894,45%,55%,10152,58%,27%,59554,0%,25%,25%,37%,1%,1%,2%,10%
Duarte,2016,21565,34%,7326,38%,62%,2589,57%,31%,21565,0%,18%,8%,47%,0%,0%,3%,24%
La Mirada,2016,49064,24%,11670,28%,72%,3285,55%,26%,49064,0%,20%,2%,41%,0%,0%,3%,34%
Maywood,2016,25886,46%,11945,69%,31%,4588,64%,34%,25886,0%,0%,0%,98%,0%,0%,0%,2%
Alondra Park,2016,8715,32%,2807,35%,65%,1274,54%,19%,8715,0%,22%,14%,41%,0%,1%,4%,18%
Beverly Grove,2016,22131,26%,5721,33%,67%,8855,47%,21%,22131,0%,10%,3%,9%,0%,0%,4%,74%
Vermont Vista,2016,23935,32%,7744,77%,23%,4491,69%,43%,23935,0%,0%,31%,66%,0%,0%,1%,1%
Lawndale,2016,32931,37%,12155,54%,46%,6484,57%,28%,32931,0%,9%,9%,62%,1%,0%,3%,15%
